Video,Hand-eye Coordination,Instrument-Tissue Manipulation,Dexterity,Flow of procedure,Effectualness,Overall
E1_t1,3,3,3,3,4,15
E1_t2,3,3,3,2,1,8
E1_t3,4,3,4,4,4,18
E1_t4,3,2,4,4,4,16
E1_t5,3,3,4,4,4,17
E1_t6,3,3,4,4,4,17
E1_t7,4,4,4,4,4,20
E1_t8,3,3,4,4,4,17
E1_t9,4,4,4,4,4,20
E1_t10,4,3,4,4,4,19
E1_t11,4,3,4,4,4,19
E1_t12,4,2,4,4,4,18
E2_t1,4,4,4,4,4,19
E2_t2,4,3,4,4,4,17
E2_t3,4,4,4,4,4,20
E2_t4,4,3,4,4,4,17
E2_t5,4,4,4,4,4,20
E2_t6,3,3,4,4,4,17
E2_t7,3,3,4,4,4,17
E2_t8,4,4,4,4,4,20
E2_t9,4,4,4,4,4,20
E2_t10,4,4,4,4,4,20
E2_t11,4,3,4,4,4,18
E2_t12,3,3,4,4,4,17
E3_t1,4,3,4,4,4,19
E3_t2,4,3,4,4,4,19
E3_t3,4,4,4,4,4,20
E3_t4,4,3,4,4,4,18
E3_t5,4,3,4,4,4,19
E3_t6,4,3,4,4,4,19
E3_t7,4,4,3,3,4,17
E3_t8,3,4,4,4,4,19
E3_t9,4,3,4,4,4,19
E3_t10,4,3,4,4,4,19
E3_t11,4,3,3,4,4,17
E3_t12,4,4,4,4,4,20
E4_t1,3,3,4,4,4,18
E4_t2,3,3,4,4,4,18
E4_t3,3,4,3,4,4,17
E4_t4,3,3,4,4,4,18
E4_t5,4,4,4,4,4,20
E4_t6,4,4,4,4,4,20
E4_t7,4,4,3,4,4,19
E4_t8,4,4,3,3,4,17
E4_t9,3,4,3,4,4,17
E4_t10,4,4,3,4,4,18
E4_t11,4,4,3,4,4,19
E4_t12,3,3,3,4,4,16
E5_t1,3,3,3,4,4,17
E5_t2,3,2,4,4,4,16
E5_t3,4,4,3,4,4,19
E5_t4,3,3,3,3,4,15
E5_t5,4,4,3,3,4,17
E5_t6,3,3,3,4,4,17
E5_t7,3,2,3,4,4,16
E5_t8,4,3,4,4,4,18
E5_t9,4,2,4,4,4,17
E5_t10,4,4,3,4,4,19
E5_t11,3,4,4,4,4,19
E5_t12,4,4,4,4,4,20
E6_t1,3,3,4,4,4,18
E6_t2,3,2,3,4,4,16
E6_t3,4,4,4,4,4,20
E6_t4,3,4,4,4,4,19
E6_t5,4,4,4,4,4,20
E6_t6,3,3,4,4,4,18
E6_t7,3,3,2,3,4,14
E6_t8,4,3,4,4,4,18
E6_t9,3,3,3,3,4,15
E6_t10,4,3,4,4,4,19
E6_t11,3,3,3,3,4,15
E6_t12,4,3,4,4,4,18
T1_1_t1,2,2,3,3,4,11
T1_1_t2,2,2,3,3,4,10
T1_1_t3,2,2,2,3,4,10
T1_1_t4,2,2,2,3,4,11
T1_1_t5,1,3,3,3,4,10
T1_1_t6,1,2,2,2,4,8
T1_1_t7,1,1,1,2,4,7
T1_1_t8,1,1,1,1,4,5
T1_1_t9,1,1,2,3,4,8
T1_1_t10,2,3,2,3,4,11
T1_1_t11,3,3,3,4,4,13
T1_1_t12,2,2,3,3,4,11
T3_2_t1,3,3,3,4,4,15
T3_2_t2,3,3,3,4,4,15
T3_2_t3,3,3,4,4,4,16
T3_2_t4,3,3,3,4,4,15
T3_2_t5,4,3,4,4,4,16
T3_2_t6,3,3,3,4,4,13
T3_2_t7,3,3,3,4,4,13
T3_2_t8,3,3,2,2,4,10
T3_2_t9,3,3,3,4,4,13
T3_2_t10,3,3,3,3,4,14
T3_2_t11,3,2,3,3,4,12
T3_2_t12,3,3,3,4,4,14
T8_1_t1,2,3,3,4,4,12
T8_1_t2,2,2,2,3,4,10
T8_1_t3,2,3,3,4,4,12
T8_1_t4,2,2,3,3,4,12
T8_1_t5,3,3,3,4,4,13
T8_1_t6,3,3,3,4,4,12
T8_1_t7,3,3,3,4,4,11
T8_1_t8,3,3,3,4,4,12
T8_1_t9,3,3,3,3,4,12
T8_1_t10,3,3,3,3,4,11
T8_1_t11,3,3,3,3,4,10
T8_1_t12,3,2,3,3,4,7
T9_1_t1,3,3,3,3,4,13
T9_1_t2,3,2,3,4,4,9
T9_1_t3,3,4,3,4,4,15
T9_1_t4,3,3,3,4,4,11
T9_1_t5,3,3,3,4,4,12
T9_1_t6,2,2,3,3,4,7
T9_1_t7,3,3,3,4,4,13
T9_1_t8,3,3,3,4,4,14
T9_1_t9,4,3,4,4,4,14
T9_1_t10,4,4,3,4,4,16
T9_1_t11,4,3,3,4,4,14
T9_1_t12,3,2,3,3,4,10
T10_2_t1,3,3,4,3,4,12
T10_2_t2,3,2,3,3,4,10
T10_2_t3,3,4,4,4,4,16
T10_2_t4,3,3,4,4,4,15
T10_2_t5,4,3,4,4,4,15
T10_2_t6,4,3,4,4,4,15
T10_2_t7,4,3,4,4,4,16
T10_2_t8,3,3,3,3,4,12
T10_2_t9,3,3,4,3,4,11
T10_2_t10,3,3,4,4,4,14
T10_2_t11,4,3,3,4,4,14
T10_2_t12,3,3,3,4,4,13
