,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.5780585461428189,0.4970761210031105,0.5722651665971704,0.4947977640846538
Mean Squared Error Testing,0.27193477272727273,0.3393748484848485,0.32710310606060605,0.4137929545454545
Mean Absolute Error Testing,0.4183409090909091,0.4507878787878788,0.4448560606060606,0.48202272727272727
Correlation: Training labels and Ground Truth,0.9611376431954574,0.9926806004176314,0.9954430614394216,0.9988463832556663
Mean Squared Error Training,0.04043670733817929,0.007221699261566861,0.010910778906627965,0.002658710792614093
Mean Absolute Error Training,0.16013836967808928,0.055473433714087875,0.04929704886308657,0.018989023947750337
Correlation: Rounded Test Labels and Ground Truth Labels,0.4961014179822065,0.4381443368608897,0.556497185913462,0.4580380448531744
Correlation: Rounded Training Labels and Ground Truth Labels,0.98641537462887,0.9984674144365044,0.9988589124431622,1.0
Mean Absolute Error Loss Rounded Test labels,0.353030303030303,0.41893939393939394,0.36287878787878786,0.4712121212121213
Mean Squared Error Loss Rounded Test labels,0.36969696969696975,0.43712121212121213,0.39772727272727265,0.5424242424242424
Accuracy: Rounded Test and Ground Truth Labels,0.6553030303030304,0.5901515151515151,0.6545454545454545,0.5553030303030304
Mean Absolute Error Loss Rounded Training labels,0.011206299757701625,0.0012461059190031153,0.0028664731494920173,0.0
Mean Squared Error Loss Rounded Training labels,0.011206299757701625,0.0012461059190031153,0.0028664731494920173,0.0
Accuracy: Rounded Training and Ground Truth Labels,0.9887937002422984,0.9987538940809969,0.9971335268505079,1.0
