,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6341803485400828,0.587215004289135,0.591885743182453,0.5645734627285808
Mean Squared Error Testing,0.24045166666666667,0.2871907575757576,0.3184822727272728,0.3531032575757576
Mean Absolute Error Testing,0.38813636363636367,0.40053030303030307,0.4326363636363637,0.43814393939393936
Correlation: Training labels and Ground Truth,0.9651967047868002,0.9948563933461652,0.9956498717962159,0.9989306716949349
Mean Squared Error Training,0.036054362236067845,0.005105336333217951,0.010434646831156264,0.002337156809385582
Mean Absolute Error Training,0.1467169435790931,0.04519383869851153,0.04699824625060472,0.01656739840348328
Correlation: Rounded Test Labels and Ground Truth Labels,0.5610233189475802,0.4955809344185952,0.5555915814571908,0.48834902905298927
Correlation: Rounded Training Labels and Ground Truth Labels,0.9876354364480665,1.0,0.9984772587042633,1.0
Mean Absolute Error Loss Rounded Test labels,0.31060606060606066,0.3613636363636364,0.3454545454545454,0.4136363636363637
Mean Squared Error Loss Rounded Test labels,0.32727272727272727,0.3962121212121212,0.38030303030303025,0.44848484848484843
Accuracy: Rounded Test and Ground Truth Labels,0.6977272727272728,0.656060606060606,0.671969696969697,0.6037878787878788
Mean Absolute Error Loss Rounded Training labels,0.01027172031844929,0.0,0.003828011611030479,0.0
Mean Squared Error Loss Rounded Training labels,0.01027172031844929,0.0,0.003828011611030479,0.0
Accuracy: Rounded Training and Ground Truth Labels,0.9897282796815506,1.0,0.9961719883889696,1.0
