,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6786427573079187,0.6953851840564214,0.5961374234662228,0.6192748447402264
Mean Squared Error Testing,0.3096015555555556,0.322875,0.4153445555555555,0.3757217777777778
Mean Absolute Error Testing,0.4549555555555555,0.4446333333333333,0.5195444444444444,0.4858666666666667
Correlation: Training labels and Ground Truth,0.9636042880043705,0.9950829330088864,0.9947821029697297,0.998736664779269
Mean Squared Error Training,0.04669132584870355,0.00587802503786866,0.013508825320512821,0.003216594017094016
Mean Absolute Error Training,0.17626917936380646,0.04936197986278173,0.05369407051282049,0.018894230769230743
Correlation: Rounded Test Labels and Ground Truth Labels,0.5430626603375039,0.6684836102204132,0.4694945136100288,0.5559006128731995
Correlation: Rounded Training Labels and Ground Truth Labels,0.9802171078947681,0.9996206644282852,0.9960328682988925,0.9994946575626354
Mean Absolute Error Loss Rounded Test labels,0.4288888888888889,0.3655555555555555,0.5144444444444445,0.4755555555555556
Mean Squared Error Loss Rounded Test labels,0.4688888888888888,0.40777777777777774,0.5788888888888888,0.5177777777777778
Accuracy: Rounded Test and Ground Truth Labels,0.591111111111111,0.6555555555555556,0.5177777777777778,0.5455555555555555
Mean Absolute Error Loss Rounded Training labels,0.021972734562951082,0.0003875968992248062,0.010048076923076923,0.001266025641025641
Mean Squared Error Loss Rounded Training labels,0.021972734562951082,0.0003875968992248062,0.010048076923076923,0.001266025641025641
Accuracy: Rounded Training and Ground Truth Labels,0.978027265437049,0.9996124031007753,0.9899519230769231,0.9987339743589743
