,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6383816459055806,0.6383113311790813,0.5756634591713088,0.595845762173545
Mean Squared Error Testing,0.31319519152968517,0.3175279227394733,0.5808131282720194,0.5871007135036416
Mean Absolute Error Testing,0.449748200590298,0.45557992356096255,0.6138573166406577,0.6117092151450624
Correlation: Training labels and Ground Truth,0.6851064174809529,0.679910256649483,0.8408784165346572,0.80976926364385
Mean Squared Error Training,0.2613075751279809,0.26481681812517194,0.3647728074098267,0.4288612018304326
Mean Absolute Error Training,0.4053293906019689,0.4176226524271912,0.4603364993902167,0.5319447537845815
Correlation: Rounded Test Labels and Ground Truth Labels,0.5892488286072869,0.5589315369133756,0.5136487673243242,0.5492895958238053
Correlation: Rounded Training Labels and Ground Truth Labels,0.616940665376571,0.5823594019932997,0.8341931750549794,0.793285189947013
Mean Absolute Error Loss Rounded Test labels,0.3954545454545454,0.40636363636363637,0.5763636363636363,0.5490909090909091
Mean Squared Error Loss Rounded Test labels,0.4136363636363636,0.4245454545454545,0.6672727272727272,0.6236363636363637
Accuracy: Rounded Test and Ground Truth Labels,0.6136363636363636,0.6027272727272728,0.4690909090909091,0.48818181818181816
Mean Absolute Error Loss Rounded Training labels,0.31888281085630127,0.3497194754190336,0.3572617946345976,0.44604532839962996
Mean Squared Error Loss Rounded Training labels,0.3394382495266148,0.3682340977628165,0.3839037927844588,0.4763644773358002
Accuracy: Rounded Training and Ground Truth Labels,0.6913949084788554,0.6595378357528578,0.656059204440333,0.5691142460684552
