,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6790982017518112,0.6578318743311925,0.5935661653290029,0.6522238256700954
Mean Squared Error Testing,0.29641222222222224,0.31113822222222226,0.39134944444444447,0.3740133333333333
Mean Absolute Error Testing,0.42344444444444446,0.4234,0.48727777777777775,0.45348888888888894
Correlation: Training labels and Ground Truth,0.9636833521139148,0.9940136905307551,0.9953685051567183,0.9986778155532207
Mean Squared Error Training,0.04385329323710239,0.006956171700971216,0.012047693910256408,0.003338998931623931
Mean Absolute Error Training,0.15931301790964977,0.049311013098102055,0.050145993589743566,0.017934401709401686
Correlation: Rounded Test Labels and Ground Truth Labels,0.6003208956306646,0.5929542917221097,0.5705306292749575,0.5601757176978608
Correlation: Rounded Training Labels and Ground Truth Labels,0.9802171078947681,0.997729608350493,0.9977601864178016,0.9994097342771717
Mean Absolute Error Loss Rounded Test labels,0.37777777777777777,0.37444444444444447,0.45,0.46333333333333326
Mean Squared Error Loss Rounded Test labels,0.3977777777777778,0.3944444444444445,0.45,0.5055555555555555
Accuracy: Rounded Test and Ground Truth Labels,0.6322222222222222,0.6355555555555555,0.5499999999999999,0.5577777777777778
Mean Absolute Error Loss Rounded Training labels,0.021972734562951082,0.002316671121803439,0.005657051282051282,0.0014797008547008546
Mean Squared Error Loss Rounded Training labels,0.021972734562951082,0.002316671121803439,0.005657051282051282,0.0014797008547008546
Accuracy: Rounded Training and Ground Truth Labels,0.978027265437049,0.9976833288781964,0.9943429487179488,0.9985202991452992
