,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.5384080819542357,0.5065013405083906,0.5059417588351081,0.4506790849388298
Mean Squared Error Testing,0.21465848484848485,0.24747954545454545,0.24662250000000002,0.2726075
Mean Absolute Error Testing,0.27316666666666667,0.3141666666666666,0.3228106060606061,0.3084621212121212
Correlation: Training labels and Ground Truth,0.9580896493349924,0.991330868248798,0.9970471278384654,0.9990340222577954
Mean Squared Error Training,0.030995142782969887,0.006557148090458058,0.004518183490208805,0.0013868413934869628
Mean Absolute Error Training,0.10475121149186566,0.04121648205838234,0.026297955209347586,0.009130350896173667
Correlation: Rounded Test Labels and Ground Truth Labels,0.49514844539984215,0.4949073981113935,0.410092549434476,0.3953323197483369
Correlation: Rounded Training Labels and Ground Truth Labels,0.9728927578394341,0.9977976933864179,0.9990450735944234,0.9997878652066301
Mean Absolute Error Loss Rounded Test labels,0.2265151515151515,0.25984848484848483,0.3098484848484848,0.2772727272727272
Mean Squared Error Loss Rounded Test labels,0.25984848484848483,0.2765151515151515,0.32651515151515154,0.32727272727272727
Accuracy: Rounded Test and Ground Truth Labels,0.7901515151515152,0.7484848484848485,0.6984848484848485,0.7477272727272728
Mean Absolute Error Loss Rounded Training labels,0.015870543440636896,0.0012432214145609783,0.0012766417829708971,0.00028309711854015654
Mean Squared Error Loss Rounded Training labels,0.015870543440636896,0.0012432214145609783,0.0012766417829708971,0.00028309711854015654
Accuracy: Rounded Training and Ground Truth Labels,0.984129456559363,0.998756778585439,0.9987233582170291,0.9997169028814599
