,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.5609187100127558,0.5259759270155291,0.5285474123391513,0.49656234466421384
Mean Squared Error Testing,0.20815893939393937,0.23559469696969698,0.24177515151515147,0.25053265151515147
Mean Absolute Error Testing,0.27010606060606057,0.29857575757575755,0.3199696969696969,0.3065833333333333
Correlation: Training labels and Ground Truth,0.957917665438633,0.9911873074820298,0.9971224475575282,0.9990238510444046
Mean Squared Error Training,0.030745514018691588,0.006585622764509057,0.004452422914638103,0.001386563164917595
Mean Absolute Error Training,0.10399463482173758,0.039118928118149265,0.026163529157200015,0.008693028958851729
Correlation: Rounded Test Labels and Ground Truth Labels,0.5071007314931861,0.4920886606738347,0.48721289979441174,0.42190737662234434
Correlation: Rounded Training Labels and Ground Truth Labels,0.9773269784340028,0.9939632068157813,0.9990450735944234,0.9995743804351604
Mean Absolute Error Loss Rounded Test labels,0.21818181818181817,0.25984848484848483,0.28409090909090906,0.28560606060606064
Mean Squared Error Loss Rounded Test labels,0.2515151515151515,0.2765151515151515,0.3007575757575758,0.31893939393939397
Accuracy: Rounded Test and Ground Truth Labels,0.7984848484848486,0.7484848484848485,0.7242424242424244,0.7310606060606062
Mean Absolute Error Loss Rounded Training labels,0.013066805122879888,0.0034267912772585666,0.0012766417829708971,0.0005679974034404414
Mean Squared Error Loss Rounded Training labels,0.013066805122879888,0.0034267912772585666,0.0012766417829708971,0.0005679974034404414
Accuracy: Rounded Training and Ground Truth Labels,0.9869331948771201,0.9965732087227414,0.9987233582170291,0.9994320025965596
