,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.46968816008856856,0.4528998142648496,0.4857255148408376,0.5309136014456372
Mean Squared Error Testing,0.30435255555555557,0.3627175555555555,0.3822101111111111,0.37370244444444445
Mean Absolute Error Testing,0.3405,0.39257777777777775,0.3796777777777778,0.3612444444444444
Correlation: Training labels and Ground Truth,0.9514152908009705,0.9908511723774929,0.9982555991834818,0.9995252281994006
Mean Squared Error Training,0.046912806736166796,0.008473201906798535,0.00451839947089947,0.0012047530864197525
Mean Absolute Error Training,0.13119085805934239,0.04766653301256345,0.022501322751322723,0.007171957671957658
Correlation: Rounded Test Labels and Ground Truth Labels,0.5009188075805328,0.42328480301562166,0.5973545390466976,0.4352674293130573
Correlation: Rounded Training Labels and Ground Truth Labels,0.9445896580925716,0.9939140569686366,0.9990539873319616,0.9995775622471113
Mean Absolute Error Loss Rounded Test labels,0.27,0.33999999999999997,0.26555555555555554,0.3466666666666667
Mean Squared Error Loss Rounded Test labels,0.3322222222222222,0.4422222222222222,0.3455555555555555,0.4488888888888889
Accuracy: Rounded Test and Ground Truth Labels,0.7611111111111111,0.711111111111111,0.7744444444444445,0.7044444444444444
Mean Absolute Error Loss Rounded Training labels,0.042809409248863936,0.0046155216965160836,0.0023809523809523807,0.001058201058201058
Mean Squared Error Loss Rounded Training labels,0.042809409248863936,0.0046155216965160836,0.0023809523809523807,0.001058201058201058
Accuracy: Rounded Training and Ground Truth Labels,0.957190590751136,0.9953844783034841,0.9976190476190476,0.9989417989417989
