,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.4692618442603071,0.5300132531262916,0.44294796051907664,0.5157196363717845
Mean Squared Error Testing,0.2903961111111111,0.30073822222222224,0.3608772222222222,0.3391265555555555
Mean Absolute Error Testing,0.32343333333333335,0.33802222222222217,0.3860111111111111,0.3337666666666666
Correlation: Training labels and Ground Truth,0.9558519472219975,0.9916612414506695,0.9980245621507674,0.9994130961937421
Mean Squared Error Training,0.04415818230419674,0.007944145950280673,0.004830013227513226,0.0014529144620811284
Mean Absolute Error Training,0.12341379310344824,0.04474819566960701,0.021453703703703676,0.006698853615520269
Correlation: Rounded Test Labels and Ground Truth Labels,0.4839899510427129,0.476336648664829,0.4156158261250167,
Correlation: Rounded Training Labels and Ground Truth Labels,0.949500155487853,0.9943786445668372,0.9983422866044835,0.9996301205252424
Mean Absolute Error Loss Rounded Test labels,0.2577777777777778,0.3122222222222222,0.3288888888888889,0.3377777777777778
Mean Squared Error Loss Rounded Test labels,0.29777777777777775,0.37222222222222223,0.40888888888888886,0.4177777777777777
Accuracy: Rounded Test and Ground Truth Labels,0.7622222222222221,0.7177777777777778,0.711111111111111,0.7022222222222222
Mean Absolute Error Loss Rounded Training labels,0.03933440256615878,0.004236835070836675,0.0037037037037037034,0.0009259259259259259
Mean Squared Error Loss Rounded Training labels,0.03933440256615878,0.004236835070836675,0.0037037037037037034,0.0009259259259259259
Accuracy: Rounded Training and Ground Truth Labels,0.9606655974338411,0.9957631649291633,0.9962962962962962,0.999074074074074
