,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6816376542946572,0.6702461546193559,0.6346622760529629,0.6484171239140449
Mean Squared Error Testing,0.3219251515151515,0.35415780303030303,0.3826567424242424,0.3895709848484848
Mean Absolute Error Testing,0.45080303030303026,0.45861363636363633,0.49287121212121204,0.4697045454545455
Correlation: Training labels and Ground Truth,0.9686771128229898,0.9957381183483426,0.9954938160190745,0.9990563588881372
Mean Squared Error Training,0.043218773797161644,0.005801159859236181,0.011494759615384615,0.0023816866231253014
Mean Absolute Error Training,0.1626089477327795,0.04997308757355481,0.04656485849056601,0.01666956942428638
Correlation: Rounded Test Labels and Ground Truth Labels,0.6317628717570972,0.5895480385323143,0.6118033255960855,0.5792079643025643
Correlation: Rounded Training Labels and Ground Truth Labels,0.9818868635669977,0.9994665474207316,0.9971427683889565,0.9998720008308755
Mean Absolute Error Loss Rounded Test labels,0.3878787878787879,0.4386363636363636,0.4303030303030303,0.4636363636363637
Mean Squared Error Loss Rounded Test labels,0.42121212121212126,0.47348484848484845,0.4818181818181818,0.5151515151515151
Accuracy: Rounded Test and Ground Truth Labels,0.6287878787878788,0.5787878787878787,0.5954545454545455,0.562121212121212
Mean Absolute Error Loss Rounded Training labels,0.02053478712357217,0.0006201684550594209,0.0071933962264150945,0.0003205128205128205
Mean Squared Error Loss Rounded Training labels,0.02053478712357217,0.0006201684550594209,0.0071933962264150945,0.0003205128205128205
Accuracy: Rounded Training and Ground Truth Labels,0.9794652128764278,0.9993798315449405,0.992806603773585,0.9996794871794872
