,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.703098122903145,0.6934811923689712,0.6459992898959388,0.6586685023295453
Mean Squared Error Testing,0.30231416666666666,0.33400303030303025,0.361357196969697,0.4369018181818182
Mean Absolute Error Testing,0.43305303030303033,0.428439393939394,0.47931060606060605,0.45757575757575764
Correlation: Training labels and Ground Truth,0.9703986315462659,0.9967659232263433,0.9956931975343728,0.9991751536470634
Mean Squared Error Training,0.0394151618206992,0.004332150109611166,0.010947546262699562,0.0020814438195452334
Mean Absolute Error Training,0.15455789200415365,0.04297323179877691,0.04575462626995643,0.015469672230285416
Correlation: Rounded Test Labels and Ground Truth Labels,0.6213063138850043,0.655389500283174,0.6369755534384586,0.626785725052108
Correlation: Rounded Training Labels and Ground Truth Labels,0.9817772485960632,1.0,0.9967670357223218,1.0
Mean Absolute Error Loss Rounded Test labels,0.4128787878787879,0.3795454545454545,0.4128787878787879,0.43030303030303035
Mean Squared Error Loss Rounded Test labels,0.4295454545454545,0.41439393939393937,0.4295454545454545,0.5333333333333333
Accuracy: Rounded Test and Ground Truth Labels,0.5954545454545455,0.6378787878787879,0.5954545454545453,0.6128787878787879
Mean Absolute Error Loss Rounded Training labels,0.02053478712357217,0.0,0.008154934687953554,0.0
Mean Squared Error Loss Rounded Training labels,0.02053478712357217,0.0,0.008154934687953554,0.0
Accuracy: Rounded Training and Ground Truth Labels,0.9794652128764278,1.0,0.9918450653120464,1.0
