,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.7846632451608968,0.7560171948035352,0.7424264747312499,0.7520091780259025
Mean Squared Error Testing,0.33456,0.39400233333333334,0.35986555555555555,0.3736732222222222
Mean Absolute Error Testing,0.4676444444444445,0.47050000000000003,0.46946666666666664,0.45216666666666666
Correlation: Training labels and Ground Truth,0.9694680303978951,0.9957042504533774,0.9947049402429208,0.9988496750699433
Mean Squared Error Training,0.052439883720930225,0.006767824556713887,0.013444928876244665,0.002911696894262682
Mean Absolute Error Training,0.18553234429296978,0.0514609730018711,0.05587980085348504,0.017429054054054028
Correlation: Rounded Test Labels and Ground Truth Labels,0.6940378515295594,0.7400377833818516,0.6231408924796364,0.6789974031817104
Correlation: Rounded Training Labels and Ground Truth Labels,0.9693702137003346,0.9980402769722904,0.9963358458940412,0.9992980414387981
Mean Absolute Error Loss Rounded Test labels,0.4011111111111111,0.37777777777777777,0.45444444444444454,0.42333333333333334
Mean Squared Error Loss Rounded Test labels,0.46111111111111114,0.45777777777777773,0.49444444444444446,0.4833333333333333
Accuracy: Rounded Test and Ground Truth Labels,0.6288888888888888,0.6622222222222222,0.5655555555555555,0.6066666666666667
Mean Absolute Error Loss Rounded Training labels,0.04165998396150762,0.0026998128842555466,0.009263869132290183,0.0017603129445234705
Mean Squared Error Loss Rounded Training labels,0.04165998396150762,0.0026998128842555466,0.009263869132290183,0.0017603129445234705
Accuracy: Rounded Training and Ground Truth Labels,0.9583400160384924,0.9973001871157443,0.9907361308677098,0.9982396870554766
