,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.7527640814319516,0.7519614677911818,0.7348131932891195,0.7223367462732497
Mean Squared Error Testing,0.30900047780004375,0.3044480593374752,0.3682033377514193,0.3876328381930223
Mean Absolute Error Testing,0.43963830293626566,0.44019807593099786,0.474887639501937,0.4829112263110929
Correlation: Training labels and Ground Truth,0.7782458957236846,0.7684929001873272,0.8950189931114043,0.8823031006136073
Mean Squared Error Training,0.25023299855021125,0.25987899307284285,0.24832913685758623,0.27672767149228267
Mean Absolute Error Training,0.3950354966001207,0.407154132177238,0.3791532689762079,0.3917478546427358
Correlation: Rounded Test Labels and Ground Truth Labels,0.6106404506454762,0.6137818697094388,0.6460725743818839,0.6713274637503008
Correlation: Rounded Training Labels and Ground Truth Labels,0.6813806760350641,0.6585709015155581,0.87939806066871,0.8631062681641378
Mean Absolute Error Loss Rounded Test labels,0.40636363636363637,0.4081818181818181,0.4254545454545454,0.4081818181818182
Mean Squared Error Loss Rounded Test labels,0.44272727272727275,0.4445454545454545,0.4818181818181818,0.46454545454545454
Accuracy: Rounded Test and Ground Truth Labels,0.6118181818181818,0.6100000000000001,0.6027272727272727,0.6199999999999999
Mean Absolute Error Loss Rounded Training labels,0.33124342520513356,0.3631566028473245,0.27987373737373733,0.3126557239057239
Mean Squared Error Loss Rounded Training labels,0.36827266989269936,0.38921032330457955,0.2878030303030303,0.3213425925925926
Accuracy: Rounded Training and Ground Truth Labels,0.6872711971386493,0.649870257381303,0.724090909090909,0.6916877104377105
