,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.7954742246631377,0.7250102683158552,0.7394617221291944,0.7596300670816216
Mean Squared Error Testing,0.31785444444444444,0.37591066666666667,0.36321366666666666,0.33923766666666666
Mean Absolute Error Testing,0.43568888888888885,0.4523555555555555,0.4613666666666667,0.4223
Correlation: Training labels and Ground Truth,0.9716159029316994,0.9965772146721232,0.9948080613637142,0.9988865675899443
Mean Squared Error Training,0.04691035151029137,0.005382548783747658,0.013155268492176386,0.002819564959696537
Mean Absolute Error Training,0.16882344292969792,0.04835066381537908,0.05279711948790894,0.016052394499762892
Correlation: Rounded Test Labels and Ground Truth Labels,0.7224951653835096,0.6755199192165746,0.6536601847519546,0.6620225050818986
Correlation: Rounded Training Labels and Ground Truth Labels,0.9816462661284081,0.9994366363914186,0.9968600132747529,0.9993851848092863
Mean Absolute Error Loss Rounded Test labels,0.3666666666666667,0.41111111111111115,0.45111111111111113,0.4311111111111111
Mean Squared Error Loss Rounded Test labels,0.3866666666666667,0.45111111111111113,0.49111111111111105,0.47111111111111104
Accuracy: Rounded Test and Ground Truth Labels,0.6433333333333333,0.6088888888888889,0.5688888888888889,0.5888888888888889
Mean Absolute Error Loss Rounded Training labels,0.02543437583533814,0.0007707386616769134,0.007930298719772404,0.0015410146989094356
Mean Squared Error Loss Rounded Training labels,0.02543437583533814,0.0007707386616769134,0.007930298719772404,0.0015410146989094356
Accuracy: Rounded Training and Ground Truth Labels,0.9745656241646617,0.9992292613383231,0.9920697012802275,0.9984589853010906
