,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.49085902780628254,0.47542618909764195,0.48208895141448654,0.4809452260792792
Mean Squared Error Testing,0.38076999999999994,0.4068515151515152,0.4601062121212121,0.4951869696969696
Mean Absolute Error Testing,0.48890909090909085,0.48136363636363644,0.5338484848484848,0.5366666666666666
Correlation: Training labels and Ground Truth,0.9601045163542163,0.9946219686487865,0.9961728321644472,0.9992625493659487
Mean Squared Error Training,0.05324632917964693,0.0072568656974731725,0.009704444444444443,0.0018464550264550253
Mean Absolute Error Training,0.18069124264451364,0.059053421022268314,0.04327777777777775,0.01294708994708992
Correlation: Rounded Test Labels and Ground Truth Labels,0.4398935457998096,0.41405521194168654,0.43518272278397613,0.4131930304131986
Correlation: Rounded Training Labels and Ground Truth Labels,0.9635540271115091,1.0,0.998105082689985,0.999788639587903
Mean Absolute Error Loss Rounded Test labels,0.4037878787878788,0.4128787878787879,0.4954545454545454,0.5318181818181819
Mean Squared Error Loss Rounded Test labels,0.45378787878787874,0.4795454545454545,0.5454545454545453,0.6333333333333333
Accuracy: Rounded Test and Ground Truth Labels,0.6212121212121213,0.6204545454545454,0.5295454545454545,0.5189393939393939
Mean Absolute Error Loss Rounded Training labels,0.033592938733125646,0.0,0.0047619047619047615,0.000529100529100529
Mean Squared Error Loss Rounded Training labels,0.033592938733125646,0.0,0.0047619047619047615,0.000529100529100529
Accuracy: Rounded Training and Ground Truth Labels,0.9664070612668743,1.0,0.9952380952380953,0.9994708994708995
