,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6202365652457006,0.6068849862070412,0.562393549449387,0.609699905276221
Mean Squared Error Testing,0.2997043939393939,0.3241482575757576,0.37487962121212126,0.39811174242424247
Mean Absolute Error Testing,0.40945454545454546,0.41115909090909086,0.4645833333333333,0.4531590909090909
Correlation: Training labels and Ground Truth,0.9660208195254718,0.9958770301101403,0.9966270775871067,0.9995018541757856
Mean Squared Error Training,0.0432560418830045,0.005178796584746738,0.008544920634920633,0.001248373015873015
Mean Absolute Error Training,0.15602215299411556,0.04388548517364711,0.0391269841269841,0.009117724867724847
Correlation: Rounded Test Labels and Ground Truth Labels,0.4945152610673061,0.5170227890158011,0.4798839990059629,0.5981415231455854
Correlation: Rounded Training Labels and Ground Truth Labels,0.9769908745569509,1.0,0.9984205160347969,0.9998414796909273
Mean Absolute Error Loss Rounded Test labels,0.3621212121212121,0.3621212121212121,0.48030303030303034,0.4045454545454545
Mean Squared Error Loss Rounded Test labels,0.39545454545454545,0.4121212121212121,0.5303030303030304,0.4727272727272728
Accuracy: Rounded Test and Ground Truth Labels,0.6545454545454545,0.6628787878787878,0.5446969696969697,0.6295454545454545
Mean Absolute Error Loss Rounded Training labels,0.021460713049498096,0.0,0.003968253968253968,0.0003968253968253968
Mean Squared Error Loss Rounded Training labels,0.021460713049498096,0.0,0.003968253968253968,0.0003968253968253968
Accuracy: Rounded Training and Ground Truth Labels,0.9785392869505021,1.0,0.9960317460317463,0.9996031746031747
