,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.46340106282265603,0.40634550001317404,0.4183957562719122,0.302954783768181
Mean Squared Error Testing,0.4925168888888889,0.5560494444444444,0.6034671111111111,0.6560144444444445
Mean Absolute Error Testing,0.5513555555555556,0.5737222222222222,0.6192,0.6258444444444444
Correlation: Training labels and Ground Truth,0.9582347160574187,0.9953577593185262,0.9950876605116751,0.9990366470134948
Mean Squared Error Training,0.06459336407377705,0.008068556981199319,0.01260948249113475,0.002422335254137115
Mean Absolute Error Training,0.1992241379310345,0.06358028156464399,0.051694038120567345,0.014499999999999968
Correlation: Rounded Test Labels and Ground Truth Labels,0.3734707958281471,,0.36282561132014335,
Correlation: Rounded Training Labels and Ground Truth Labels,0.9441977772913382,1.0,0.9960398390941991,0.9995117875234831
Mean Absolute Error Loss Rounded Test labels,0.4777777777777777,0.5477777777777777,0.5988888888888889,0.6444444444444444
Mean Squared Error Loss Rounded Test labels,0.5377777777777777,0.6677777777777778,0.7411111111111112,0.7866666666666667
Accuracy: Rounded Test and Ground Truth Labels,0.5522222222222222,0.5122222222222221,0.4722222222222222,0.42666666666666664
Mean Absolute Error Loss Rounded Training labels,0.06023790430366212,0.0,0.009995567375886524,0.0012226654846335696
Mean Squared Error Loss Rounded Training labels,0.06023790430366212,0.0,0.009995567375886524,0.0012226654846335696
Accuracy: Rounded Training and Ground Truth Labels,0.9397620956963377,1.0,0.9900044326241135,0.9987773345153664
