,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.3905926395934603,0.40227389105697275,0.3545153467537693,0.377595437083302
Mean Squared Error Testing,0.4751831693829386,0.4799027464002664,0.8341307182800966,0.7226522092514738
Mean Absolute Error Testing,0.5438822635015927,0.539546241235433,0.6649149833754963,0.6699647978348897
Correlation: Training labels and Ground Truth,0.5882987803378176,0.583528117538765,0.7601651073109188,0.7495755019945511
Mean Squared Error Training,0.3364216382821702,0.33928271299392276,0.5262068610404764,0.5462119414343347
Mean Absolute Error Training,0.46265146168463656,0.46632762901027736,0.5738983003971541,0.5958668154732494
Correlation: Rounded Test Labels and Ground Truth Labels,,,0.3572897798388498,0.35941261591159385
Correlation: Rounded Training Labels and Ground Truth Labels,0.5081482843324654,0.48386582378043597,0.7552309637245296,0.7251575052251876
Mean Absolute Error Loss Rounded Test labels,0.4436363636363637,0.48909090909090913,0.5745454545454545,0.6218181818181818
Mean Squared Error Loss Rounded Test labels,0.5345454545454545,0.5800000000000001,0.8672727272727274,0.8054545454545454
Accuracy: Rounded Test and Ground Truth Labels,0.6018181818181818,0.5563636363636363,0.5354545454545454,0.47000000000000003
Mean Absolute Error Loss Rounded Training labels,0.3755312434252051,0.39335507398835823,0.4894191919191919,0.5312766554433221
Mean Squared Error Loss Rounded Training labels,0.3961077214390911,0.4146188372256119,0.5539983164983165,0.6095931537598205
Accuracy: Rounded Training and Ground Truth Labels,0.6347569955817378,0.6172768076302686,0.5424158249158249,0.5077300785634119
