,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.43929599049313833,0.41794546150452383,0.4005542569819879,0.33932907548233127
Mean Squared Error Testing,0.5000451111111112,0.5310167777777778,0.6424747777777778,0.6061287777777777
Mean Absolute Error Testing,0.5600222222222222,0.5766555555555555,0.6229666666666666,0.6106111111111111
Correlation: Training labels and Ground Truth,0.9566272186224838,0.9946775344628691,0.9949114489876589,0.9988558972612245
Mean Squared Error Training,0.06498056268377438,0.008127575960081974,0.012979316267730495,0.0028810335401891233
Mean Absolute Error Training,0.2059950547981823,0.06574048828299024,0.051627770390070896,0.016029550827423134
Correlation: Rounded Test Labels and Ground Truth Labels,0.39445952884950325,0.2627023420695987,0.3637349128849232,0.27624204012186204
Correlation: Rounded Training Labels and Ground Truth Labels,0.9501773533752054,1.0,0.9962397362581813,0.9994412421615436
Mean Absolute Error Loss Rounded Test labels,0.4844444444444444,0.5288888888888887,0.6044444444444443,0.5922222222222222
Mean Squared Error Loss Rounded Test labels,0.5444444444444444,0.6088888888888888,0.7466666666666667,0.7144444444444444
Accuracy: Rounded Test and Ground Truth Labels,0.5455555555555556,0.5111111111111112,0.4666666666666667,0.4688888888888888
Mean Absolute Error Loss Rounded Training labels,0.054397219994653835,0.0,0.00948581560283688,0.001399970449172577
Mean Squared Error Loss Rounded Training labels,0.054397219994653835,0.0,0.00948581560283688,0.001399970449172577
Accuracy: Rounded Training and Ground Truth Labels,0.945602780005346,1.0,0.9905141843971631,0.9986000295508275
