,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6495910572558152,0.6349293341531783,0.6004588791013569,0.6503318488130361
Mean Squared Error Testing,8.041813333333334,8.71153674242424,9.284316439393939,8.521927121212121
Mean Absolute Error Testing,2.202954545454545,2.265689393939394,2.3484621212121213,2.2193939393939397
Correlation: Training labels and Ground Truth,0.963997566431992,0.9953889656193198,0.991877199407574,0.9986427172211636
Mean Squared Error Training,1.1907431922810663,0.16297637590861888,0.28620132760989014,0.046674634539072044
Mean Absolute Error Training,0.8370715645552094,0.28578141225337483,0.2786471382783883,0.08579449786324786
Correlation: Rounded Test Labels and Ground Truth Labels,0.637449237477493,0.6265483606893729,0.5876814453278818,0.640716477758824
Correlation: Rounded Training Labels and Ground Truth Labels,0.9602918299320977,0.9935413825030185,0.9909198955252094,0.9985223121486765
Mean Absolute Error Loss Rounded Test labels,2.184090909090909,2.256818181818182,2.39469696969697,2.2030303030303027
Mean Squared Error Loss Rounded Test labels,8.278030303030302,8.837121212121213,9.656818181818181,8.615151515151513
Accuracy: Rounded Test and Ground Truth Labels,0.15227272727272728,0.15984848484848485,0.10151515151515152,0.1765151515151515
Mean Absolute Error Loss Rounded Training labels,0.8020422291450329,0.18080650744202145,0.21483974358974361,0.04346153846153846
Mean Squared Error Loss Rounded Training labels,1.2632744894427135,0.1882716049382716,0.31276556776556774,0.04937423687423687
Accuracy: Rounded Training and Ground Truth Labels,0.3847005884389062,0.8229260413061036,0.8249748168498169,0.9593360805860807
