,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.8968190053416883,0.8522034926623425,0.8757994486080423,0.8634698110110504
Mean Squared Error Testing,2.946457196969696,4.059270606060606,3.607096515151516,3.760932196969697
Mean Absolute Error Testing,1.1770833333333335,1.347939393939394,1.342060606060606,1.3451439393939393
Correlation: Training labels and Ground Truth,0.9831620583698937,0.9983183895564561,0.9975598301546086,0.9996474597852331
Mean Squared Error Training,0.4520239113880235,0.047219177916233986,0.08070975938644688,0.011613458409645906
Mean Absolute Error Training,0.45218172377985466,0.13643659859236185,0.14847351190476188,0.03812802960927962
Correlation: Rounded Test Labels and Ground Truth Labels,0.8897270453386256,0.8487511705997164,0.8664791924050238,0.8608601996325334
Correlation: Rounded Training Labels and Ground Truth Labels,0.9793055763198082,0.9985388349070032,0.9969328511911106,0.9996914316106709
Mean Absolute Error Loss Rounded Test labels,1.1749999999999998,1.3166666666666667,1.378030303030303,1.3
Mean Squared Error Loss Rounded Test labels,3.137121212121212,4.125757575757576,3.7916666666666665,3.793939393939394
Accuracy: Rounded Test and Ground Truth Labels,0.2871212121212121,0.2863636363636364,0.2348484848484848,0.29545454545454547
Mean Absolute Error Loss Rounded Training labels,0.3780979577708549,0.034559247721241484,0.09057692307692308,0.00943605006105006
Mean Squared Error Loss Rounded Training labels,0.5423762547594323,0.038920618437752394,0.10006868131868132,0.010051129426129426
Accuracy: Rounded Training and Ground Truth Labels,0.6611024575977847,0.967621437637014,0.9141689560439561,0.9908714896214896
