,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.742093230385383,0.6660680163175038,0.6408746965826484,0.6737159097815613
Mean Squared Error Testing,6.778782777777778,9.457803666666665,8.98365488888889,9.55109822222222
Mean Absolute Error Testing,1.9514333333333334,2.215588888888889,2.2285111111111116,2.268377777777778
Correlation: Training labels and Ground Truth,0.9702919417555276,0.9959575101324643,0.9956889388189214,0.9994170123635691
Mean Squared Error Training,1.088935876770917,0.14716065356856456,0.19197957028388277,0.02388066552197802
Mean Absolute Error Training,0.7693666132050253,0.25265192016394905,0.19001472069597064,0.047791796398046406
Correlation: Rounded Test Labels and Ground Truth Labels,0.7472925756760846,0.6802932694113252,0.6458880934284679,0.6748332695154303
Correlation: Rounded Training Labels and Ground Truth Labels,0.964972015351251,0.9950703276865216,0.9951621425339013,0.9994227100727588
Mean Absolute Error Loss Rounded Test labels,1.9077777777777776,2.1333333333333333,2.2055555555555553,2.2477777777777774
Mean Squared Error Loss Rounded Test labels,6.647777777777779,9.313333333333333,8.952222222222224,9.601111111111111
Accuracy: Rounded Test and Ground Truth Labels,0.17777777777777776,0.24111111111111114,0.16777777777777775,0.16888888888888887
Mean Absolute Error Loss Rounded Training labels,0.743090082865544,0.13537378597522945,0.1375480769230769,0.018492063492063494
Mean Squared Error Loss Rounded Training labels,1.2129109863672813,0.1530874097834804,0.21040064102564102,0.022545787545787545
Accuracy: Rounded Training and Ground Truth Labels,0.424726009088479,0.8723291455047668,0.8884569597069598,0.9830685286935287
