,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6739717831141759,0.6634797238756596,0.6679486797133414,0.628178484205736
Mean Squared Error Testing,8.348434690215052,8.476625187945682,9.923031166268526,10.66424275223927
Mean Absolute Error Testing,2.2435980992825826,2.2767683963471517,2.422353323317199,2.5745747909481844
Correlation: Training labels and Ground Truth,0.7364706450852453,0.6877286700416007,0.7945498666001065,0.7217477010392452
Mean Squared Error Training,6.173944805857128,7.112481589155655,7.1534980690455425,9.263525939069716
Mean Absolute Error Training,1.9464630090709847,2.0664393591636068,2.052186567902256,2.3465783860184657
Correlation: Rounded Test Labels and Ground Truth Labels,0.6647631391037864,0.6542791256165665,0.6627267648069672,0.6134545725363056
Correlation: Rounded Training Labels and Ground Truth Labels,0.7335676645204596,0.6836703360774423,0.7967189662184889,0.717801371452164
Mean Absolute Error Loss Rounded Test labels,2.249090909090909,2.288181818181818,2.3872727272727277,2.6063636363636364
Mean Squared Error Loss Rounded Test labels,8.547272727272729,8.724545454545455,10.030909090909091,11.013636363636362
Accuracy: Rounded Test and Ground Truth Labels,0.13272727272727275,0.1409090909090909,0.1381818181818182,0.11000000000000001
Mean Absolute Error Loss Rounded Training labels,1.9198190616452766,2.062914650396241,2.033106684981685,2.3386095848595847
Mean Squared Error Loss Rounded Training labels,6.233452556280243,7.1906935970264385,7.088573717948718,9.376735347985349
Accuracy: Rounded Training and Ground Truth Labels,0.1903639806438039,0.15225822287677956,0.16538919413919412,0.1443246336996337
