,No Augmentation,Augmentation Only,Label Balancing Only,Augmentation and Label Balancing
Correlation: Test labels and Ground Truth Labels,0.6767801270564882,0.6519831657372708,0.6015589471094931,0.6901924590559716
Mean Squared Error Testing,8.862699666666666,10.455293444444445,10.132403555555555,9.232830555555555
Mean Absolute Error Testing,2.167566666666667,2.287411111111111,2.3278222222222222,2.1439
Correlation: Training labels and Ground Truth,0.9634382140237807,0.9957581066085407,0.995571413663886,0.9990937693626043
Mean Squared Error Training,1.2741250240577386,0.14998022676646172,0.18908335966117215,0.03651014644383395
Mean Absolute Error Training,0.8182800053461641,0.2564757640559565,0.18079681776556775,0.053689522283272305
Correlation: Rounded Test Labels and Ground Truth Labels,0.6707025428737328,0.6471738491524724,0.6133971424669104,0.6905483492376819
Correlation: Rounded Training Labels and Ground Truth Labels,0.9582729629455391,0.9949514080299965,0.9951347873089489,0.9990706527464914
Mean Absolute Error Loss Rounded Test labels,2.151111111111111,2.268888888888889,2.2866666666666666,2.1622222222222223
Mean Squared Error Loss Rounded Test labels,9.044444444444444,10.31777777777778,9.999999999999998,9.146666666666667
Accuracy: Rounded Test and Ground Truth Labels,0.18777777777777777,0.17777777777777778,0.1711111111111111,0.17666666666666667
Mean Absolute Error Loss Rounded Training labels,0.7858861267040899,0.14816448364964804,0.12605769230769232,0.024046092796092797
Mean Squared Error Loss Rounded Training labels,1.3806468858593957,0.15741334758977102,0.20454212454212453,0.036631562881562885
Accuracy: Rounded Training and Ground Truth Labels,0.4293771718791767,0.8560768065579613,0.900849358974359,0.9806692612942614
