,NUMBER_OF_HITS,HIT_INTENSITY,NUMBER_OF_TUG,TOTAL_FRAMES_IN_TUG,NUMBER_OF_JERK,TIME,NUMBER_OF_RINGDROP,VARIANCE,ARC_LENGTH,CURVATURE_MAX_COUNT
E1_t10,0.4,0.0,0.1,0.1554054054054054,0.0,0.07860262008733626,0.0,0.17132166409059282,0.08274367937085499,0.0
E1_t11,0.4,0.0,0.05,0.12837837837837837,0.0,0.09679767103347892,0.0,0.1258580864903943,0.0670821403740594,0.0
E1_t12,0.4,0.0,0.15,0.17567567567567569,0.0,0.2423580786026201,0.0,0.03177119496705536,0.054337400621785374,0.42857142857142855
E1_t1,0.4,1.0,0.05,0.060810810810810814,0.2727272727272727,0.22416302765647744,0.0,0.21110234137485548,0.15529545719400736,0.14285714285714285
E1_t2,0.0,0.0,0.05,0.02027027027027027,0.0,0.055312954876273655,1.0,0.05471447486360953,0.0,0.2857142857142857
E1_t3,0.0,0.0,0.1,0.12837837837837837,0.13636363636363635,0.024017467248908318,0.0,0.2559356107253815,0.07208181255410459,0.0
E1_t4,0.2,0.0,0.05,0.11486486486486487,0.22727272727272727,0.16739446870451236,0.0,0.09371330450231101,0.07348622931841349,0.14285714285714285
E1_t5,0.2,0.0,0.05,0.10135135135135136,0.13636363636363635,0.061135371179039305,0.0,0.26533127360116465,0.10032047265484825,0.14285714285714285
E1_t6,0.4,0.0,0.05,0.10810810810810811,0.0,0.09679767103347892,0.0,0.09086147508919097,0.04118498369669043,0.0
E1_t7,0.4,1.0,0.05,0.20945945945945946,0.0,0.1841339155749636,0.0,0.028122292158983007,0.022444585200342777,0.42857142857142855
E1_t8,0.2,0.0,0.15,0.08108108108108109,0.0,0.09606986899563319,0.0,0.1730753109833477,0.09900003937174415,0.5714285714285714
E1_t9,0.2,0.0,0.05,0.12162162162162163,0.0,0.0,0.0,0.2964002645202357,0.07822153706253106,0.0
E2_t10,0.0,0.0,0.0,0.0,0.0,0.0349344978165939,0.0,0.26732182247801567,0.09746003587087088,0.0
E2_t11,0.4,0.0,0.05,0.05405405405405406,0.0,0.24017467248908295,0.0,0.028391039733339837,0.04834507752815326,0.2857142857142857
E2_t12,0.2,1.0,0.15,0.17567567567567569,0.0,0.36171761280931586,0.0,0.07153527284274375,0.1586624461282373,0.7142857142857143
E2_t1,0.4,0.0,0.05,0.033783783783783786,0.0,0.22489082969432314,0.0,0.12653790125890074,0.09179127159268137,0.0
E2_t2,0.4,0.0,0.1,0.28378378378378377,0.0,0.2219796215429403,0.0,0.09358323978393,0.10619265283989439,0.42857142857142855
E2_t3,0.4,0.0,0.05,0.1554054054054054,0.0,0.0735080058224163,0.0,0.2849589444479512,0.14010492868326008,0.0
E2_t4,0.2,0.0,0.15,0.12162162162162163,0.0,0.1826783114992722,0.0,0.11475063596586059,0.10273941522152204,0.2857142857142857
E2_t5,0.2,0.0,0.0,0.0,0.0,0.07641921397379912,0.0,0.20415356653580916,0.10234336093712795,0.0
E2_t6,0.2,0.0,0.1,0.25,0.0,0.185589519650655,0.0,0.10149438213132729,0.09961532420578238,0.14285714285714285
E2_t7,0.4,0.0,0.2,0.5135135135135135,0.0,0.3500727802037845,0.0,0.0055066225083585055,0.06091536826167208,0.42857142857142855
E2_t8,0.4,0.0,0.0,0.0,0.0,0.15211062590975252,0.0,0.11061110718044247,0.08111304055842423,0.14285714285714285
E2_t9,0.4,0.0,0.0,0.0,0.0,0.21906841339155747,0.0,0.056953678155705366,0.0745082407831251,0.14285714285714285
E3_t10,0.0,0.0,0.0,0.0,0.0,0.020378457059679767,0.0,0.27634573391072936,0.09024599123123463,0.0
E3_t11,0.4,0.0,0.1,0.16216216216216217,0.0,0.14556040756914118,0.0,0.04979695415385029,0.035691590286900804,0.2857142857142857
E3_t12,0.4,0.0,0.0,0.0,0.0,0.13027656477438138,0.0,0.08508282371911804,0.042268130661397,0.14285714285714285
E3_t1,0.2,0.0,0.05,0.14189189189189189,0.0,0.18850072780203783,0.0,0.12282358939900155,0.09383647458447711,0.0
E3_t2,0.4,0.0,0.05,0.18243243243243243,0.0,0.2059679767103348,0.0,0.05976216051087318,0.05717971703304884,0.2857142857142857
E3_t3,0.2,0.0,0.0,0.0,0.045454545454545456,0.020378457059679767,0.0,0.2536969848835967,0.08122118349918904,0.0
E3_t4,0.4,0.0,0.1,0.14189189189189189,0.0,0.07278020378457062,0.0,0.20025370233689668,0.09849381374568168,0.0
E3_t5,0.2,0.0,0.05,0.013513513513513514,0.0,0.0,0.0,0.35427026354848556,0.09273930014341637,0.0
E3_t6,0.0,0.0,0.15,0.04054054054054054,0.0,0.07860262008733626,0.0,0.17503630932746397,0.07999617121919737,0.14285714285714285
E3_t7,0.4,0.0,0.05,0.02702702702702703,0.0,0.2059679767103348,0.0,0.055768263676545984,0.05543848244214699,0.14285714285714285
E3_t8,0.4,0.0,0.05,0.02027027027027027,0.0,0.09315866084425037,0.0,0.17792232288958082,0.08428889389061825,0.0
E3_t9,0.2,0.0,0.05,0.013513513513513514,0.0,0.05749636098981079,0.0,0.12555504192405273,0.04201798359138032,0.14285714285714285
E4_t10,0.6,0.0,0.05,0.013513513513513514,0.3181818181818182,0.12736535662299855,0.0,0.18619277313764596,0.1015236875611187,0.0
E4_t11,0.4,0.0,0.05,0.08108108108108109,0.7272727272727273,0.31149927219796214,0.0,0.02889888457702887,0.06795472218051031,0.7142857142857143
E4_t12,0.4,0.0,0.05,0.25,0.4090909090909091,0.363901018922853,0.0,0.07894306917280013,0.14579733094799027,0.42857142857142855
E4_t1,0.2,0.0,0.05,0.19594594594594594,0.0,0.2896652110625909,0.0,0.1002407957250519,0.14293801996471775,0.0
E4_t2,0.4,0.0,0.0,0.0,0.0,0.2896652110625909,0.0,0.06760501069774444,0.1097229147879028,0.14285714285714285
E4_t3,0.2,0.0,0.0,0.0,0.045454545454545456,0.18049490538573504,0.0,0.20788192597835614,0.1660085482686212,0.42857142857142855
E4_t4,0.4,0.0,0.05,0.02027027027027027,0.0,0.20305676855895197,0.0,0.06263596768900678,0.047388700314830084,0.14285714285714285
E4_t5,0.2,0.0,0.0,0.0,0.0,0.235080058224163,0.0,0.13248932734517332,0.176318035789045,0.0
E4_t6,0.2,0.0,0.0,0.0,0.0,0.314410480349345,0.0,0.03769282555690036,0.09384776542887892,0.14285714285714285
E4_t7,0.4,1.0,0.0,0.0,0.09090909090909091,0.2940320232896652,0.0,0.018444341564118158,0.053223491474342965,0.2857142857142857
E4_t8,0.2,0.0,0.0,0.0,0.045454545454545456,0.5305676855895196,0.0,0.06019923192964529,0.1465436808759125,0.14285714285714285
E4_t9,0.6,0.0,0.0,0.0,0.09090909090909091,0.692867540029112,0.0,0.0473530710203664,0.2149589420484388,1.0
E5_t10,0.2,0.0,0.0,0.0,0.5454545454545454,0.03857350800582242,0.0,0.2100715718617166,0.07583556542826149,0.0
E5_t11,0.4,0.0,0.05,0.11486486486486487,0.18181818181818182,0.12954876273653565,0.0,0.05342923922736663,0.015087090184273868,0.14285714285714285
E5_t12,0.4,0.0,0.0,0.0,0.45454545454545453,0.11280931586608442,0.0,0.15982960740421467,0.08098455783088306,0.2857142857142857
E5_t1,0.0,0.0,0.05,0.013513513513513514,0.45454545454545453,0.1695778748180495,0.0,0.1490784786522723,0.10203927841776321,0.14285714285714285
E5_t2,0.6,1.0,0.1,1.0,0.22727272727272727,0.3675400291120815,0.0,0.0880678811431482,0.13878165727538205,0.2857142857142857
E5_t3,0.4,0.0,0.0,0.0,0.22727272727272727,0.15211062590975252,0.0,0.17131058784617886,0.12092994967140787,0.2857142857142857
E5_t4,0.4,0.0,0.1,0.1891891891891892,1.0,0.2729257641921397,0.0,0.09700653197015456,0.09037426524996486,0.0
E5_t5,0.2,0.0,0.0,0.0,0.09090909090909091,0.08951965065502185,0.0,0.19426892689944542,0.10914399365005659,0.0
E5_t6,0.2,0.0,0.1,0.12162162162162163,0.36363636363636365,0.25327510917030566,0.0,0.07399965566352708,0.09629210295273982,0.2857142857142857
E5_t7,0.8,0.0,0.3,0.7297297297297297,0.2727272727272727,0.25327510917030566,0.0,0.03876978289117538,0.0424721992968696,0.14285714285714285
E5_t8,0.4,0.0,0.05,0.10810810810810811,0.5,0.1688500727802038,0.0,0.07972803535125787,0.0741963161420413,0.2857142857142857
E5_t9,0.4,1.0,0.05,0.1554054054054054,0.6818181818181818,0.14556040756914118,0.0,0.0886747209615448,0.0668037462054214,0.14285714285714285
E6_t10,0.2,0.0,0.45,0.11486486486486487,0.0,0.3158660844250364,0.0,0.09809309173723213,0.17012806012496404,0.2857142857142857
E6_t11,1.0,0.0,0.15,0.3716216216216216,0.045454545454545456,0.3806404657933042,0.0,0.04973373759781938,0.12660699585567656,0.2857142857142857
E6_t12,0.2,0.0,0.2,0.05405405405405406,0.09090909090909091,0.38427947598253276,0.0,0.07476574097346592,0.18073714114203887,0.14285714285714285
E6_t1,0.6,0.0,0.05,0.013513513513513514,0.0,0.38864628820960695,0.0,0.09425478532608349,0.20286406474496974,0.14285714285714285
E6_t2,0.6,0.0,0.15,0.49324324324324326,0.13636363636363635,0.4068413391557496,0.0,0.03808103450417378,0.11375257936567654,0.2857142857142857
E6_t3,0.0,0.0,0.1,0.02027027027027027,0.0,0.25618631732168845,0.0,0.11342185574016418,0.13390708967213644,0.42857142857142855
E6_t4,0.6,0.0,0.0,0.0,0.3181818181818182,0.4177583697234352,0.0,0.15200103324754416,0.3005861602491802,0.42857142857142855
E6_t5,0.0,0.0,0.0,0.0,0.045454545454545456,0.31368267831149926,0.0,0.1275200867655052,0.20574368359481598,0.2857142857142857
E6_t6,0.2,0.0,0.0,0.0,0.045454545454545456,0.27729257641921395,0.0,0.16632710379529503,0.22348594429342356,0.42857142857142855
E6_t7,0.6,0.0,0.45,0.10135135135135136,0.5,0.5480349344978165,0.0,0.009628443728172325,0.1202830739853506,0.5714285714285714
E6_t8,0.6,1.0,1.0,0.28378378378378377,0.13636363636363635,0.42212518195050946,0.0,0.03817929869343346,0.13082829791178713,0.2857142857142857
E6_t9,0.6,0.0,0.3,0.2972972972972973,0.0,0.38573508005822416,0.0,0.03457310845430434,0.10372329620001804,0.14285714285714285
T1_1_t10,0.2,0.0,0.0,0.0,0.13636363636363635,0.5109170305676856,0.0,0.02498687617353031,0.1411859095455808,0.42857142857142855
T1_1_t11,0.2,0.0,0.0,0.0,0.18181818181818182,0.6746724890829694,0.0,0.015094585977262504,0.19023804267442382,0.42857142857142855
T1_1_t12,0.8,1.0,0.1,0.20270270270270271,0.36363636363636365,0.745269286754003,0.0,0.0,0.16501680625370002,0.42857142857142855
T1_1_t1,0.6,0.0,0.05,0.013513513513513514,0.045454545454545456,0.6797671033478894,0.0,0.023619663206598137,0.18838177774862688,0.7142857142857143
T1_1_t2,0.2,0.0,0.1,0.39864864864864863,0.0,0.8231441048034934,0.0,0.008128436892550215,0.19707060641525362,1.0
T1_1_t3,0.4,0.0,0.05,0.060810810810810814,0.045454545454545456,0.5815138282387191,0.0,0.10549138785721147,0.34629682441685755,0.0
T1_1_t4,0.2,0.0,0.05,0.08108108108108109,0.0,0.4388646288209607,0.0,0.08362193191808034,0.21553417805199274,0.14285714285714285
T1_1_t5,0.0,0.0,0.05,0.033783783783783786,0.13636363636363635,1.0,0.0,0.11950011830596824,0.5453325004726478,0.14285714285714285
T1_1_t6,0.8,0.0,0.0,0.0,0.4090909090909091,0.7656477438136826,0.0,0.12621815239238818,0.48300234410961296,0.7142857142857143
T1_1_t7,0.4,0.0,0.0,0.0,0.09090909090909091,0.4941775836972343,0.0,0.00782886372246552,0.10189089284477941,0.8571428571428571
T1_1_t8,0.0,0.0,0.15,0.02027027027027027,0.22727272727272727,0.729985443959243,0.0,0.06602754977410584,0.3350253938028836,0.42857142857142855
T1_1_t9,0.4,0.0,0.0,0.0,0.09090909090909091,0.9301310043668122,0.0,0.05300963938193065,0.33131787783084965,0.5714285714285714
T3_2_t10,0.6,0.0,0.0,0.0,0.13636363636363635,0.2219796215429403,0.0,0.12525381100050567,0.12890907353169626,0.42857142857142855
T3_2_t11,0.2,1.0,0.0,0.0,0.09090909090909091,0.31004366812227074,0.0,0.04080513120034965,0.09204454989638038,0.0
T3_2_t12,0.4,0.0,0.0,0.0,0.3181818181818182,0.47452692867540025,0.0,0.03522670513748308,0.10932449757169116,0.14285714285714285
T3_2_t1,0.4,0.0,0.0,0.0,0.045454545454545456,0.2794759825327511,0.0,0.060416884621247356,0.0925722023390945,0.14285714285714285
T3_2_t2,0.4,0.0,0.0,0.0,0.0,0.15138282387190685,0.0,0.4625874877158754,0.1836700439303819,0.0
T3_2_t3,0.0,0.0,0.0,0.0,0.0,0.09024745269286753,0.0,0.21940760334942697,0.12296337984759105,0.14285714285714285
T3_2_t4,0.2,0.0,0.0,0.0,0.045454545454545456,0.14483260553129548,0.0,0.09764940239363391,0.07630534858602828,0.0
T3_2_t5,0.0,0.0,0.0,0.0,0.0,0.11062590975254732,0.0,0.18834343559533284,0.11866444770302112,0.0
T3_2_t6,0.6,0.0,0.05,0.060810810810810814,0.045454545454545456,0.23871906841339158,0.0,0.10695529917618248,0.13446118237467308,0.0
T3_2_t7,0.2,0.0,0.0,0.0,0.0,0.30858806404657935,0.0,0.07353383534393021,0.1371994495476192,0.2857142857142857
T3_2_t8,0.0,0.0,0.0,0.0,0.09090909090909091,0.3813682678311499,0.0,0.08073679847945556,0.1777961119871393,0.2857142857142857
T3_2_t9,0.2,0.0,0.0,0.0,0.18181818181818182,0.11135371179039301,0.0,0.273181724275468,0.18198134207670705,0.0
T8_1_t10,0.4,0.0,0.05,0.02702702702702703,0.0,0.2947598253275109,0.0,0.06250456994034284,0.10042298577586174,0.14285714285714285
T8_1_t11,0.2,0.0,0.0,0.0,0.09090909090909091,0.3311499272197962,0.0,0.05260809572511773,0.10550236846151403,0.0
T8_1_t12,0.4,0.0,0.05,0.1891891891891892,0.09090909090909091,0.40538573508005826,0.0,0.17993272535028507,0.12019826184795948,0.42857142857142855
T8_1_t1,0.4,0.0,0.0,0.0,0.045454545454545456,0.6251819505094615,0.0,0.04444814011415107,0.18219850356453587,0.42857142857142855
T8_1_t2,0.4,0.0,0.05,0.18243243243243243,0.0,0.839155749636099,0.0,0.21338115369787014,0.3676524664713269,0.42857142857142855
T8_1_t3,0.0,0.0,0.0,0.0,0.0,0.38864628820960695,0.0,0.24570849163060918,0.33073854968020433,0.2857142857142857
T8_1_t4,0.6,0.0,0.05,0.14189189189189189,0.13636363636363635,0.4563318777292576,0.0,1.0,1.0,0.7142857142857143
T8_1_t5,0.0,0.0,0.0,0.0,0.13636363636363635,0.34497816593886466,0.0,0.14172098539750658,0.25356790591292183,0.0
T8_1_t6,0.4,0.0,0.0,0.0,0.0,0.3653566229985444,0.0,0.07197698145918292,0.13136679688806083,0.14285714285714285
T8_1_t7,0.2,0.0,0.0,0.0,0.5,0.27729257641921395,0.0,0.007792907101369538,0.03103311652830888,0.14285714285714285
T8_1_t8,0.2,0.0,0.0,0.0,0.0,0.3311499272197962,0.0,0.5516452960748364,0.2427222123981546,0.42857142857142855
T8_1_t9,0.0,0.0,0.0,0.0,0.22727272727272727,0.27729257641921395,0.0,0.11671860742888003,0.15686859121889918,0.14285714285714285
